,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Bajaj Electricals Limited,BAJAJELEC,Ocean Dial Gateway To India Mauritius Limited,201606,1049000,1.04,28.56
2,GHCL Limited,GHCL,Ocean Dial Gateway To India Mauritius Limited,201606,2000000,2,51.07
3,Hindustan Media Ventures Limited,HMVL,OCEAN DIAL GATEWAY TO INDIA MAURITIUS LIMITED,201606,976927,1.33,27.34
4,NIIT Technologies Limited,NIITTECH,OCEAN DIAL GATEWAY TO INDIA MAURITIUS LIMITED,201606,770000,1.26,30.59
5,Sonata Software Limited,SONATSOFTW,OCEAN DIAL GATEWAY TO INDIA MAURITIUS LIMITED,201606,1700000,1.62,25.98
6,Techno Electric & Engineering Company Limited,TECHNO,OCEAN DIAL GATEWAY TO INDIA MAURITIUS LI,201606,630000,1.1,20.57
