,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Force Motors Ltd,500033,Vanaja Sundar Iyer,201609,200000,1.52,80
2,Jamna Auto Industries Limited,JAMNAAUTO,VANAJA SUNDAR IYER,201609,2000000,2.51,36.63
3,Man Infraconstruction Limited,MANINFRA,Vanaja Sundar Iyer,201609,2600000,1.05,10.18
4,Multi Commodity Exchange of India Limited,MCX,Vanaja Sundar Iyer,201609,525000,1.03,67.82
5,N2N Technologies Ltd,512279,Sundar Iyer,201609,52600,1.69,0.21
6,Nilkamal Limited,NILKAMAL,Sundar Iyer,201609,200000,1.34,25.89
