,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Bharat Wire Ropes Limited,BHARATWIRE,MOTILAL GOPILAL OSWAL,201609,1884217,4.19,9.80
2,Maharashtra Scooters Limited,MAHSCOOTER,MOTILAL GOPILAL OSWAL,201609,139615,1.22,24.92
