,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity,Date End,# of Shares,%,Value (In Crores)
1,Greenlam Industries Limited,GREENLAM,AKHIL DHAWAN,201606,546612,2.26,38.97
2,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,AKHIL DHAWAN,201606,1322650,1.56,36.51
