,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Grasim Industries Limited,GRASIM,NEW WORLD FUND INC,201606,1144056,1.23,518.07
2,Gujarat Pipavav Port Limited,GPPL,NEW WORLD FUND INC,201606,16350000,3.38,279.58
3,Havells India Limited,HAVELLS,New World Fund Inc,201606,7940000,1.27,330.07
4,Indiabulls Housing Finance Limited,IBULHSGFIN,NEW WORLD FUND INC,201606,4407910,1.05,363.3
5,Kotak Mahindra Bank Limited,KOTAKBANK,NEW WORLD FUND INC,201606,19793219,1.08,1545.36
6,Power Grid Corporation of India Limited,POWERGRID,NEW WORLD FUND INC,201606,58804350,1.12,1071.71
