,0,1,2,3,4,5
0,Company Name,Symbol,Entity Name,# of Shares,%,Value (In Crores)
1,RBL Bank Limited,RBLBANK,International Finance Corporation,12717250,3.41,506.27
2,Equitas Holdings Limited,EQUITAS,INTERNATIONAL FINANCE CORPORATION,22059885,6.54,369.39
3,Max Financial Services Limited,MFSL,INTERNATIONAL FINANCE CORPORATION,5569375,2.08,317.43
4,Religare Enterprises Limited,RELIGARE,International Finance Corporation,12818331,7.19,316.61
5,Cholamandalam Investment and Finance Company Limited,CHOLAFIN,INTERNATIONAL FINANCE CORPORATION,2965676,1.9,310.83
