,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,APL Apollo Tubes Limited,APLAPOLLO,NARENDRA KUMAR AGARWAL,201603,535957,2.29,47.15
2,Astec LifeSciences Limited,ASTEC,NARENDRA KUMAR AGARWAL,201603,857762,4.41,20.47
3,AXISCADES Engineering Technologies Limited,AXISCADES,NARENDRA KUMAR AGARWAL,201603,375000,1.38,10.35
4,Genus Power Infrastructures Limited,GENUSPOWER,NARENDRA KUMAR AGARWAL,201603,2734878,1.06,15.32
5,GHCL Limited,GHCL,Narendra Kumar Agarwal,201603,1500000,1.5,22.21
6,Himatsingka Seide Limited,HIMATSEIDE,NARENDRA KUMAR AGARWAL,201603,2250000,2.29,52.13
7,Maxwell Industries Ltd,MAXWELL,NARENDRA KUMAR AGARWAL,201603,2913118,4.41,15.14
8,Nilkamal Limited,NILKAMAL,Narendra Kumar Agarwal,201603,425317,2.85,53.82
