,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Ansal Properties & Infrastructure Limited,ANSALAPI,Deutsche Securities Mauritius Limited,201606,1701334,1.08,3.27
2,Cyient Limited,CYIENT,DEUTSCHE SECURITIES MAURITIUS LIMITED,201606,5455977,4.85,271.05
3,Monnet Ispat and Energy Limited,MONNETISPA,DEUTSCHE SECURITIES MAURITIUS LIMITED,201606,4154977,2.07,9.74
4,RattanIndia Infrastructure Limited,RTNINFRA,DEUTSCHE SECURITIES MAURITIUS LIMITED,201606,15193146,1.1,5.39
5,The South Indian Bank Limited,SOUTHBANK,DEUTSCHE SECURITIES MAURITIUS LIMITED,201606,34562438,2.56,73.79
6,ZUARI GLOBAL LIMITED,ZUARIGLOB,Deutsche Securities Mauritius Limited,201606,899027,3.05,8.17
