,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Housing Development & Infratructure Ltd,HDIL,CAUSEWAY EMERGING MARKETS FUND,201606,9861314,2.35,84.81
2,Sintex Industries Ltd,SINTEX,Causeway Emerging Markets Fund,201606,7349547,1.65,61.00
