,0,1,2,3,4,5
0,Company Name,Symbol,Entity Name,# of Shares,%,Value (In Crores)
1,Grasim Industries Limited,GRASIM,ABERDEEN GLOBAL INDIAN EQUITY LIMITED,15252065,3.27,1420.27
2,Bosch Limited,BOSCHLTD,ABERDEEN GLOBAL INDIAN EQUITYLIMITED,387907,1.27,871.23
3,Grasim Industries Limited,GRASIM,ABERDEEN EMERGING MARKETS FUND,8825060,1.89,821.79
4,Godrej Consumer Products Limited,GODREJCP,Aberdeen Global Indian Equity Limited,5278586,1.55,817.94
5,Hero MotoCorp Limited,HEROMOTOCO,ABERDEEN EMERGING MARKETS FUND,2538035,1.27,816.19
