,0,1,2,3,4,5,6
0,Company Name,NSE Symbol/BSE Code,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,ABC Bearings Limited,505665,VIJAY KISHNANLAL KEDIA,201609,549000,4.75,9.3
2,Amrutanjan Health Care Limited,AMRUTANJAN,KEDIA SECURITIES PRIVATE LIMITED,201609,215665,1.48,12.95
3,Apar Industries Limited,APARINDS,Kedia Securities Pvt. Ltd.,201609,400191,1.04,23.4
4,Apcotex Industries Limited,APCOTEXIND,Vijay Kedia,201609,231814,1.12,8.58
5,Aries Agro Limited,ARIES,VIJAY KISHANLAL KEDIA,201609,238091,1.83,3.22
6,Aries Agro Limited,ARIES,VIJAY KISHANLAL KEDIA,201609,360000,2.77,4.87
7,Astec LifeSciences Limited,ASTEC,KEDIA SECURITIES PRIVATE LIMITED,201609,200000,1.03,10.84
8,Atul Auto Limited,ATULAUTO,KEDIA SECURITIES PRIVATE LIMITED,201609,253451,1.16,12.3
9,Cera Sanitaryware Limited,CERA,VIJAY KEDIA,201609,217927,1.68,56.53
10,Cheviot Co Ltd,526817,Vijay Kishanlal Kedia,201609,53221,1.18,5.27
11,Heritage Foods Limited,HERITGFOOD,KEDIA SECURITIES PRIVATE LIMITED,201609,234000,1.01,21.24
12,MIRC Electronics Limited,MIRCELECTR,Vijay Kishanlal Kedia,201609,2322187,1.18,3.81
13,Repro India Limited,REPRO,Vijay Kishanlal Kedia,201609,753928,6.91,32.55
14,Speciality Restaurants Limited,SPECIALITY,Vijay Kishanlal Kedia,201609,500000,1.06,4.49
15,Stewart & Lloyds of India,504960,Vijay Kishanlal Kedia,201609,142014,4.73,0.35
16,Sudarshan Chemical Industries Limited,SUDARSCHEM,Vijay Kishanlal Kedia,201609,2505317,3.62,99.46
17,The Karnataka Bank Limited,KTKBANK,VIJAY KISHANLAL KEDIA,201609,2502108,1.33,30.5
