,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,City Union Bank Limited,CUB,LAVENDER INVESTMENTS LTD,201609,23608955,3.95,317.07
2,Cyient Limited,CYIENT,LAVENDER INVESTMENTS LIMITED,201609,4732101,4.2,231.78
3,Hindustan Media Ventures Limited,HMVL,LAVENDER INVESTMENTS LIMITED,201609,3050000,4.16,82.81
4,IPCA Laboratories Limited,IPCALAB,Lavender Investments Limited,201609,4989773,3.95,283.02
5,Magma Fincorp Limited,MAGMA,LAVENDER INVESTMENTS LIMITED,201609,18851431,7.96,196.24
6,The South Indian Bank Limited,SOUTHBANK,LAVENDER INVESTMENTS LIMITED,201609,38127000,2.82,80.26
7,Torrent Pharmaceuticals Limited,TORNTPHARM,LAVENDER INVESTMENTS LIMITED,201609,2445120,1.44,344.41
