,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity,Date End,# of Shares,%,Value (In Crores)
1,TV Today Network Ltd,TVTODAY,RAMESH DAMANI,201603,869686,1.46,25.83
2,Uniply Industries Ltd,UNIPLY,RAMESH DAMANI,201603,250000,1.25,3.75
