,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Balaji Telefilms Limited,BALAJITELE,INDIA CAPITAL FUND LIMITED,201603,2744777,3.61,26.45
2,Camlin Fine Sciences Limited,CAMLINFINE,India Capital Fund Ltd,201603,3442027,3.56,31.63
3,Cox & Kings Limited,COX&KINGS,INDIA CAPITAL FUND LIMITED,201603,3847188,2.27,78.23
4,Gujarat State Petronet Limited,GSPL,INDIA CAPITAL FUND LIMITED,201603,6478000,1.15,84.05
5,Kirloskar Industries Limited,KIRLOSIND,INDIA CAPITAL FUND LIMITED,201603,943439,9.72,66.99
6,Mangalam Cement Limited,MANGLMCEM,INDIA CAPITAL FUND LIMITED,201603,1970418,7.38,60.33
7,Orient Cement Limited,ORIENTCEM,India Capital Fund Limited,201603,3890586,1.9,68.86
8,Repco Home Finance Limited,REPCOHOME,INDIA CAPITAL FUND LIMITED,201603,1700936,2.72,131.62
