,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,DCB BANK LIMITED,DCBBANK,Steinberg India Emerging Opportunities Fund Limited,201603,4800000,1.69,47.42
2,Firstsource Solutions Limited,FSL,STEINBERG INDIA EMERGING OPPORTUNITIES FUND LIMITED,201603,11774000,1.75,55.1
3,Hindustan Media Ventures Limited,HMVL,STEINBERG INDIA EMERGING OPPORTUNITIES FUND LIMITE,201603,1600000,2.18,43.99
4,Noida Toll Bridge Company Limited,NOIDATOLL,Steinberg India Emerging Oppurtunities Fund Limited,201603,5460000,2.93,12.99
5,Wonderla Holidays Limited,WONDERLA,STEINBERG INDIA EMERGING OPPORTUNITIES FUND LIMITE,201603,635000,1.12,25.26
