,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity,Date End,# of Shares,%,Value (In Crores)
1,Astral Poly Technik Limited,ASTRAL,STEADVIEW CAPITAL MAURITIUS LIMITED,201609,4718624,3.94,211.3
2,DFM Foods Ltd,519588,STEADVIEW CAPITAL MAURITIUS LIMITED,201609,305318,3.05,69.09
3,eClerx Services Limited,ECLERX,STEADVIEW CAPITAL MAURITIUS LIMITED,201609,634901,1.55,96.38
4,Kajaria Ceramics Limited,KAJARIACER,STEADVIEW CAPITAL MAURITIUS LIMITED,201609,1665991,2.1,103.42
5,La Opala RG Limited,LAOPALA,STEADVIEW CAPITAL MAURITIUS LTD,201609,2392036,4.31,133.49
6,Page Industries Limited,PAGEIND,STEADVIEW CAPITAL MAURITIUS LIMITED,201609,415640,3.73,683.85
7,Strides Shasun Limited,STAR,STEADVIEW CAPITAL MAURITIUS LIMITED,201609,1464829,1.64,153.21
