,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,EIH Associated Hotels Limited,EIHAHOTELS,USHA KAMAL KABRA,201603,351000,1.15,11.31
2,EIH Associated Hotels Limited,EIHAHOTELS,KAMAL KABRA,201603,331000,1.09,10.67
3,Heritage Foods Limited,HERITGFOOD,KAMAL KABRA,201603,246900,1.06,12.57
4,Heritage Foods Limited,HERITGFOOD,KAMAL SHYAMSUNDER KABRA,201603,246000,1.06,12.53
5,INOX Leisure Limited,INOXLEISUR,KAMAL SHYAMSUNDER KABRA,201603,1000200,1.04,19.6
6,Kaya Limited,KAYA,Kamal Shyamsunder Kabra,201603,133007,1.03,11.83
7,Taj GVK Hotels & Resorts Limited,TAJGVK,Kamal Shyamsunder Kabra,201603,1202200,1.92,10.94
