,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Bharat Gears Limited,BHARATGEAR,ANIL KUMAR GOEL,201603,233000,2.98,1.91
2,Cosmo Films Limited,COSMOFILMS,Anil Kumar Goel,201603,665000,3.42,24.54
