,0,1,2,3,4,5
0,Company,NSE/BSE Symbol,Entity,# of Shares,%,Value (In Crores)
1,Page Industries Limited,PAGEIND,NALANDA INDIA FUND LIMITED,1110735,9.96,1827.48
2,Havells India Limited,HAVELLS,Nalanda India Equity Fund Limited,33044930,5.29,1345.26
3,Berger Paints (I) Limited,BERGEPAINT,Nalanda India Fund Ltd.,50749406,5.23,1306.29
4,AIA Engineering Limited,AIAENG,Nalanda India Equity Fund Limited,9127809,9.68,1180.04
5,Supreme Industries Limited,SUPREMEIND,NALANDA INDIA FUND LIMITED,8176502,6.44,738.3
