,0,1,2,3,4,5,6
0,Company Name,NSE Symbol/BSE Code,Entity,Date End,# of Shares,%,Value (In Crores)
1,Arvind Infrastructure Ltd,ARVINFRA,Equity Intelligence India Private Limited,201606,260000,1.01,2.17
2,BDH Industries Ltd,524828,PORINJU V VELIYATH,201606,58000,1.01,0.37
3,Eastern Treads Ltd,531346,EQUITY INTELLIGENCE INDIA PRIVATE LIMITED,201606,100000,1.91,1.47
4,Flex Foods Ltd,523672,PORINJU V VELIYATH,201606,125000,1,1.41
5,IZMO Ltd,IZMO,EQUITY INTELLIGENCE INDIA PRIVATE LIMITED,201606,130000,1.07,0.70
6,IZMO Ltd,IZMO,PORINJU V VELIYATH,201606,300000,2.48,1.61
7,Samtex Fashions Ltd,521206,PORINJU V VELIYATH,201606,775000,1.04,1.01
8,Simran Farms Ltd,519566,PORINJU V VELIYATH,201606,40000,1.05,0.19
