,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Glenmark Pharmaceuticals Limited,GLENMARK,Aranda Investments (Mauritius) Pte Ltd,201603,11261010,3.99,862.48
2,Info Edge (India) Limited,NAUKRI,Aranda Investments (Mauritius) Pte Ltd,201603,3272000,2.71,267.34
3,Just Dial Limited,JUSTDIAL,ARANDA INVESTMENTS (MAURITIUS) PTE LTD,201603,734006,1.06,48.59
4,Mahindra & Mahindra Financial Services Limited,M&MFIN,ARANDA INVESTMENTS (MAURITIUS) PTE LTD,201603,14159390,2.49,452.18
5,Mahindra & Mahindra Limited,M&M,ARANDA INVESTMENTS (MAURITIUS) PTE LTD,201603,6832016,1.16,922.9
6,Oberoi Realty Limited,OBEROIRLTY,Aranda Investments (Mauritius) Pte Ltd,201603,12420057,3.66,347.45
