,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Aegis Logistics Limited,AEGISCHEM,Credit Suisse (Singapore) Limited,201606,6790799,2.03,84.95
2,Apollo Tyres Limited,APOLLOTYRE,CREDIT SUISSE (SINGAPORE) LIMITED,201606,8396877,1.65,153.28
3,Axis Bank Limited,AXISBANK,CREDIT SUISSE (SINGAPORE) LIMITED,201606,49535139,2.15,2843.81
4,Indiabulls Housing Finance Limited,IBULHSGFIN,CREDIT SUISSE (SINGAPORE) LIMITED,201606,7725788,1.85,623.36
5,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,CREDIT SUISSE (SINGAPORE) LIMITED,201606,1028068,1.21,29.62
6,Sonata Software Limited,SONATSOFTW,CREDIT SUISSE (SINGAPORE) LIMITED,201606,1184169,1.13,18.09
