,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Astral Poly Technik Limited,ASTRAL,STEADVIEW CAPITAL MAURITIUS LIMITED,201603,4418624,3.69,194.33
2,Cera Sanitaryware Limited,CERA,STEADVIEW CAPITAL MAURITIUS LIMITED,201603,236655,1.82,48.75
3,Kajaria Ceramics Limited,KAJARIACER,STEADVIEW CAPITAL MAURITIUS LIMITED,201603,1549412,1.95,162.44
4,La Opala RG Limited,LAOPALA,STEADVIEW CAPITAL MAURITIUS LTD,201603,2392036,4.31,137.1
5,Page Industries Limited,PAGEIND,STEADVIEW CAPITAL MAURITIUS LIMITED,201603,416028,3.73,539.68
6,Shriram City Union Finance Limited,SHRIRAMCIT,Steadview Capital Mauritius Limited,201603,1087799,1.65,182.1
7,Strides Shasun Limited,STAR,STEADVIEW CAPITAL MAURITIUS LIMITED,201603,1464829,1.64,166.16
8,V-Guard Industries Limited,VGUARD,STEADVIEW CAPITAL MAURITIUS LIMITED,201603,1054131,3.5,125.19
