,0,1,2,3,4,5,6
0,Company Name,Symbol,Entity Name,Date End,# of Shares,%,Value (In Crores)
1,Container Corporation Of India Limited,CONCOR,MONETARY AUTHORITY OF SINGAPORE,201606,2718380,1.39,403.72
2,IRB Infrastructure Developers Limited,IRB,MONETARY AUTHORITY OF SINGAPORE,201606,4065657,1.16,84
3,Prestige Estates Projects Limited,PRESTIGE,Monetary Authority Of Singapore,201606,5555790,1.48,102.25
4,Tata Motors Limited,TATAMTRDVR,Monetary Authority of Singapore,201606,6168551,1.21,193.32
